,household_key,BASKET_ID,DAY,PRODUCT_ID,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISC,TRANS_TIME,WEEK_NO,COUPON_DISC,COUPON_MATCH_DISC,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
33,1722,29299776859,174,840361,1,0.88,31782,-0.51,1906,26,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
34,1770,28345038279,114,840361,1,1.09,432,-0.3,2305,17,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
35,1906,28628929540,130,840361,1,0.88,412,-0.51,1911,19,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
36,1906,28619118490,129,840361,1,0.88,412,-0.51,1722,19,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
37,1968,28106400628,94,840361,1,1.09,321,-0.3,1022,14,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
38,1968,29141928296,163,840361,1,0.88,321,-0.51,1822,24,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
39,2018,27901303127,77,840361,1,1.09,402,-0.3,2200,12,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
40,2029,28391807151,117,840361,1,0.79,346,-0.6,2235,17,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
41,2044,28318476220,111,840361,1,1.09,318,-0.3,1235,17,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
42,2170,28069366375,91,840361,1,1.09,421,-0.3,1329,14,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
43,2208,27282161450,25,840361,1,1.09,441,-0.3,1516,4,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
44,2208,28941476207,152,840361,1,1.09,441,-0.3,1456,22,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
45,2214,28318411664,111,840361,2,2.18,338,-0.6,1819,17,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
46,2263,27673251455,58,840361,1,1.28,31401,-0.11,1920,9,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
47,2263,27334176719,30,840361,1,1.28,31401,-0.11,2035,5,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
48,2263,28282576082,108,840361,2,2.56,31401,-0.22,1716,16,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
49,2263,29353511543,179,840361,1,0.88,422,-0.51,1232,26,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
50,2266,29183070555,166,840361,1,0.88,381,-0.51,926,24,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
51,2266,28057186074,90,840361,1,1.09,381,-0.3,1259,14,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
52,2266,27950453496,82,840361,1,1.09,367,-0.3,1430,12,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
53,2329,28537753438,124,840361,1,0.79,427,-0.6,2109,18,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
54,2329,28282428485,108,840361,1,1.09,327,-0.3,2153,16,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
55,2392,27115526238,12,840361,1,1.09,313,-0.3,1326,2,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
56,2394,28970727456,153,840361,1,0.88,321,-0.51,1641,23,0.0,0.0,69,GROCERY,Private,EGGS,EGGS - LARGE,1 DZ
57,13,28282413676,108,7410344,1,1.67,323,-0.82,1809,16,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,32 OZ
58,13,28282413676,108,1133018,3,3.0,323,-2.97,1809,16,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
59,187,27709540629,61,1133018,3,3.0,443,-2.97,1144,9,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
60,327,28306061699,110,1133018,1,1.0,297,-0.99,1815,16,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
61,414,28789918878,144,1133018,1,1.99,310,0.0,58,21,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
62,553,28675131170,133,1133018,1,1.0,447,-0.99,1544,20,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
63,553,29125087313,162,1133018,1,1.99,447,0.0,2056,24,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
64,553,28787987159,140,1133018,1,1.99,447,0.0,2048,21,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
65,646,27176877875,17,1133018,4,4.0,408,-3.96,2336,3,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
66,738,28648226746,132,1133018,2,2.0,289,-1.38,2110,20,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
67,738,29276765476,172,1133018,1,1.0,289,-0.69,1235,25,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
68,738,29273453823,171,1133018,2,2.0,318,-1.38,1757,25,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
69,1034,27620621603,54,1133018,1,1.99,380,0.0,1429,8,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
70,1034,27566085861,49,1133018,1,1.99,380,0.0,1206,8,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
71,1065,29273167812,171,1133018,2,2.0,311,-1.98,2154,25,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
72,1262,27949962518,81,1133018,1,1.99,372,0.0,1423,12,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
73,1557,28110836165,95,1133018,1,1.0,375,-0.99,1131,14,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
74,1609,28867761574,147,1133018,1,1.99,412,0.0,1134,22,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
75,2066,28787866383,140,1133018,2,2.0,295,-1.98,1745,21,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
76,2208,28154055896,97,1133018,1,1.99,292,0.0,1341,15,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
77,2208,27985267000,84,1133018,2,2.0,441,-1.98,1957,13,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
78,2208,28757852132,138,1133018,2,2.0,438,-1.98,1457,20,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
79,2208,29251206164,170,1133018,4,4.0,343,-3.96,2124,25,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
80,13,28282413676,108,826249,2,1.98,323,0.0,1809,16,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
81,13,28867814144,147,826249,2,1.98,323,0.0,2050,22,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
82,13,29141697838,163,826249,2,1.76,323,-0.22,1617,24,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
83,155,28639272144,131,826249,1,0.99,402,0.0,1548,19,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
84,155,29195092261,167,826249,1,0.88,402,-0.11,1625,25,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
85,181,27912925384,78,826249,2,1.98,327,0.0,1051,12,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
86,181,29034566520,156,826249,1,0.99,327,0.0,1602,23,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
87,181,27865094216,74,826249,1,0.99,327,0.0,1248,11,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
88,187,28306575853,110,826249,1,0.99,389,0.0,1127,16,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
89,208,28331400300,112,826249,1,0.99,327,0.0,1010,17,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
90,208,28697985571,135,826249,1,0.99,327,0.0,1216,20,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
91,235,28106217637,94,826249,1,0.99,315,0.0,2121,14,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
92,235,28057128113,90,826249,1,0.99,388,0.0,2038,14,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
93,472,27889188392,76,826249,1,0.99,389,0.0,1907,12,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
94,511,27673092134,58,826249,1,0.88,316,-0.11,1630,9,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
95,511,27325751786,29,826249,1,0.99,316,-0.3,1618,5,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
96,511,27399051867,36,826249,1,0.99,316,-0.3,1615,6,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
97,511,27841003290,72,826249,1,0.99,412,0.0,1706,11,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
98,511,28405736890,118,826249,1,0.99,316,0.0,1630,18,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
99,604,28536927010,122,826249,1,0.99,359,0.0,1751,18,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
100,646,29094450287,159,826249,1,0.99,408,0.0,1032,23,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
101,905,27176820252,17,826249,3,2.97,367,-0.9,1746,3,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
102,938,28511833648,120,826249,1,0.99,369,0.0,1610,18,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
103,956,27950897846,82,826249,1,0.99,370,0.0,1743,12,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
104,1116,27721152233,62,826249,1,0.79,345,-0.2,1722,10,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
105,1116,28629321507,130,826249,1,0.99,345,0.0,1300,19,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
106,1116,29276972195,172,826249,2,1.98,345,0.0,1524,25,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
107,1116,29170932081,165,826249,2,1.76,345,-0.22,1456,24,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
108,1308,29183356690,165,826249,1,0.88,389,-0.11,1305,24,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
109,1557,28379400813,116,826249,1,0.99,375,0.0,1038,17,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
110,1609,27732861120,63,826249,1,0.79,412,-0.2,1151,10,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
111,1616,27774042707,67,826249,2,1.58,374,-0.4,2024,10,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
112,1664,27950256068,81,826249,1,0.99,341,-0.4,1245,12,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
113,1722,28941432043,152,826249,3,2.97,296,0.0,1943,22,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
114,1842,29019526166,154,826249,1,0.99,346,0.0,1615,23,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
115,2029,28676002114,134,826249,1,0.99,346,0.0,2134,20,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
116,2066,28242987750,104,826249,2,1.58,330,-0.4,1625,16,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
117,2072,28154180450,97,826249,1,0.79,379,-0.2,1240,15,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
118,2156,28537297873,123,826249,1,0.99,327,0.0,1913,18,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
119,2156,28941557460,152,826249,1,0.99,327,0.0,1740,22,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
120,2170,29194705826,167,826249,2,1.76,316,-0.22,1146,25,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
121,2181,29182868579,166,826249,2,1.76,427,-0.22,1640,24,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
122,2208,27469140850,41,826249,1,0.99,292,-0.3,1303,7,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
123,2208,27325695848,29,826249,1,0.99,441,-0.3,1318,5,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
124,2208,27773951643,67,826249,1,0.79,441,-0.2,1606,10,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
125,2208,27985267000,84,826249,1,0.99,441,0.0,1957,13,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
126,2263,27130336063,13,826249,1,0.99,31401,-0.3,1717,3,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
127,2263,29329925533,176,826249,1,1.29,300,0.0,1439,26,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
128,2263,28106316060,94,826249,2,1.78,31401,-0.2,1652,14,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
129,2263,28081271032,92,826249,1,0.89,31401,-0.1,1717,14,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
130,2263,29034696040,156,826249,1,0.89,300,-0.1,1747,23,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
131,2263,28537446131,123,826249,1,0.89,31401,-0.1,1654,18,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
132,2269,29141877870,163,826249,3,2.64,356,-0.33,1857,24,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
133,2269,28601632348,128,826249,1,0.99,356,0.0,1745,19,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
134,2269,28294650956,109,826249,4,3.96,356,0.0,1146,16,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
135,2269,28941151470,151,826249,3,2.97,356,0.0,1316,22,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
136,2269,28788677791,141,826249,1,0.99,356,0.0,1930,21,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
137,2378,27620361702,54,826249,1,0.99,401,0.0,1357,8,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
138,2378,29183114409,166,826249,1,0.88,401,-0.11,2041,24,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
139,2378,28282520993,108,826249,1,0.99,401,0.0,1217,16,0.0,0.0,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,12 OZ
140,13,28282413676,108,1122413,1,1.5,323,-0.29,1809,16,0.0,0.0,560,GROCERY,National,MARGARINES,MARGARINE  STICK,32 OZ
141,13,28282413676,108,1096343,4,4.0,323,-0.76,1809,16,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
142,646,29299815850,174,1096343,2,2.0,408,-0.38,1325,26,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
143,1365,28068980923,91,1096343,1,1.0,367,-0.19,1908,14,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
144,1708,28197378570,102,1096343,5,5.0,327,-0.95,2009,15,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
145,1722,28081026955,92,1096343,1,1.0,296,-0.19,1914,14,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
146,1906,28628929540,130,1096343,1,1.0,412,-0.19,1911,19,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
147,1906,29221493209,168,1096343,1,1.0,372,-0.19,1745,25,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
148,2208,27398461382,35,1096343,1,1.0,441,-0.19,1652,6,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
149,2208,27469140850,41,1096343,1,1.0,292,-0.19,1303,7,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
150,2208,27756967384,65,1096343,1,1.0,384,-0.19,1626,10,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
151,2208,27985267000,84,1096343,1,1.0,441,-0.19,1957,13,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
152,2263,27190781524,18,1096343,1,1.09,31401,-0.1,2004,3,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
153,2263,28243720840,105,1096343,1,1.09,31401,-0.1,1546,16,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
154,2263,28675791730,134,1096343,1,1.09,31401,-0.1,2127,20,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
155,2263,28537446131,123,1096343,1,1.09,31401,-0.1,1654,18,0.0,0.0,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
156,13,28282413676,108,1070105,2,3.98,323,-1.2,1809,16,0.0,0.0,135,GROCERY,National,FRZN POTATOES,FRZN TATER TOTS/OTHER EXTRUDED,30 OZ
157,1609,28306146781,110,1070105,1,1.99,412,-0.6,1311,16,0.0,0.0,135,GROCERY,National,FRZN POTATOES,FRZN TATER TOTS/OTHER EXTRUDED,30 OZ
158,13,28282413676,108,1058997,2,2.0,323,-1.98,1809,16,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
159,13,28697973577,135,1058997,1,1.0,323,-0.99,1920,20,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
160,13,29273120444,171,1058997,2,2.0,323,-1.98,908,25,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
161,397,28787806221,140,1058997,1,1.99,367,0.0,2052,21,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
162,1609,28840645390,145,1058997,1,1.99,316,0.0,1016,21,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
163,1609,29094517310,159,1058997,1,1.5,316,-0.49,1652,23,0.0,0.0,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY, 
